Team,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Ottawa Senators,82,3.2,432,694,80,21.6,6,2421,10.8,1270,83.6,0,0,0.0
Detroit Red Wings,82,3.11,432,687,63,20.1,15,2484,10.3,966,86.8,0,0,0.0
Tampa Bay Lightning,82,2.99,415,660,55,16.3,15,2460,10.0,985,84.8,0,0,0.0
Toronto Maple Leafs,82,2.95,423,665,75,20.1,8,2253,10.7,1452,83.4,0,0,0.0
New York Islanders,82,2.89,380,617,54,16.7,11,2341,10.1,1168,85.5,0,0,0.0
Colorado Avalanche,82,2.88,418,654,74,20.4,7,2411,9.8,1293,83.8,0,0,0.0
Vancouver Canucks,82,2.87,410,645,56,15.0,5,2379,9.9,1274,86.0,0,0,0.0
Philadelphia Flyers,82,2.79,403,632,65,20.7,7,2411,9.5,1357,83.3,0,0,0.0
Edmonton Oilers,82,2.7,363,584,44,13.0,13,2332,9.5,1220,81.1,0,0,0.0
Buffalo Sabres,82,2.68,360,580,58,15.8,7,2301,9.6,1289,84.8,0,0,0.0
San Jose Sharks,82,2.67,376,595,56,16.6,9,2300,9.5,1091,85.3,0,0,0.0
Nashville Predators,82,2.63,373,589,72,16.9,14,2227,9.7,1360,81.8,0,0,0.0
Atlanta Thrashers,82,2.61,368,582,60,14.7,11,2141,10.0,1505,85.2,0,0,0.0
New Jersey Devils,82,2.6,375,588,51,16.3,8,2433,8.8,894,85.3,0,0,0.0
Boston Bruins,82,2.55,343,552,48,16.0,7,2500,8.4,1208,83.6,0,0,0.0
Montreal Canadiens,82,2.54,354,562,55,17.2,5,2270,9.2,1039,82.5,0,0,0.0
New York Rangers,82,2.51,356,562,46,14.3,6,2416,8.5,1459,79.4,0,0,0.0
Los Angeles Kings,82,2.5,358,563,50,14.0,9,2349,8.7,1163,80.7,0,0,0.0
Calgary Flames,82,2.44,338,538,54,15.1,11,2248,8.9,1426,84.7,0,0,0.0
Dallas Stars,82,2.37,344,538,52,15.9,5,2196,8.8,1143,85.9,0,0,0.0
St. Louis Blues,82,2.33,323,514,61,17.9,7,2223,8.6,1274,84.5,0,0,0.0
Pittsburgh Penguins,82,2.32,332,522,65,18.1,7,2029,9.4,1270,77.2,0,0,0.0
Chicago Blackhawks,82,2.29,326,514,55,15.8,5,2401,7.8,1318,83.5,0,0,0.0
Florida Panthers,82,2.29,307,495,52,16.8,7,2273,8.3,1192,86.3,0,0,0.0
Minnesota Wild,82,2.29,313,501,46,13.6,7,1982,9.5,1035,84.5,0,0,0.0
Washington Capitals,82,2.27,318,504,64,19.2,4,1946,9.6,1282,81.3,0,0,0.0
Anaheim Mighty Ducks,82,2.24,314,498,56,18.1,5,2438,7.5,1131,84.7,0,0,0.0
Columbus Blue Jackets,82,2.16,296,473,58,14.5,5,2280,7.8,1209,85.2,0,0,0.0
Carolina Hurricanes,82,2.1,283,455,41,10.7,9,2394,7.2,1102,81.6,0,0,0.0
