Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Angel McCoughtry,F,33,31.4,21.5,7.5,18.1,41.3,0.7,3.4,20.4,5.9,7.2,82.4,5.3,4.4,2.7,0.7,4.1,2013
Diana Taurasi,G,32,32.4,20.3,6.3,13.7,45.6,2.2,6.2,34.7,5.7,6.7,85.4,4.2,6.2,0.7,0.5,3.6,2013
Maya Moore,F,34,31.4,18.5,6.9,13.5,50.9,2.1,4.7,45.3,2.6,3.0,88.2,6.2,3.0,1.7,1.0,1.7,2013
Elena Delle Donne,F,30,31.4,18.1,5.7,13.5,42.6,1.4,3.2,43.8,5.2,5.6,92.9,5.6,1.8,0.7,1.8,1.3,2013
Tina Charles,C,29,32.8,18.0,7.5,18.8,40.0,0.0,0.1,0.0,2.9,3.9,75.2,10.1,1.4,0.9,1.0,2.2,2013
Candace Parker,F,31,28.7,17.9,6.7,13.6,49.3,0.3,1.1,25.7,4.2,5.5,76.2,8.7,3.8,1.3,1.8,2.3,2013
Tamika Catchings,F,30,31.4,17.7,6.0,15.1,39.6,1.2,3.7,32.1,4.5,5.3,86.1,7.1,2.4,2.8,1.0,1.7,2013
Cappie Pondexter,G,30,34.2,16.9,5.7,15.8,36.0,1.3,3.4,36.9,4.2,5.2,81.4,4.5,4.0,1.0,0.1,3.5,2013
Seimone Augustus,G,31,29.7,16.3,6.9,13.3,51.6,0.6,2.2,29.0,1.9,2.1,87.9,3.2,2.5,0.6,0.6,1.5,2013
Sylvia Fowles,C,32,31.3,16.3,6.2,10.6,58.6,0.0,0.0,0.0,3.9,5.7,68.5,11.5,0.4,0.9,2.4,2.1,2013
Riquna Williams,G,27,22.7,15.6,5.1,13.0,39.7,1.7,4.4,38.1,3.7,4.1,90.0,2.4,1.8,1.0,0.3,1.5,2013
Candice Dupree,F,32,33.0,15.2,6.4,12.4,51.5,0.0,0.1,0.0,2.4,2.7,89.7,6.4,1.9,1.1,0.4,2.0,2013
Epiphanny Prince,G,31,30.0,15.0,4.8,12.7,37.6,2.0,5.0,39.6,3.5,3.9,90.0,2.7,3.0,1.6,0.4,1.4,2013
Glory Johnson,F,29,30.2,15.0,5.2,11.8,44.6,0.0,0.1,33.3,4.5,6.0,74.7,8.9,1.1,1.0,0.4,2.1,2013
Lindsay Whalen,G,34,29.6,14.9,5.8,12.0,48.6,0.0,0.3,11.1,3.2,4.1,78.3,4.4,5.8,0.8,0.1,2.2,2013
Shavonte Zellous,G,29,31.3,14.7,5.0,12.1,41.5,1.3,3.9,34.8,3.3,4.2,78.0,3.4,1.7,0.9,0.7,1.9,2013
Nneka Ogwumike,F,34,25.8,14.6,5.6,10.0,56.6,0.1,0.1,40.0,3.2,3.9,82.6,7.6,1.3,1.5,1.0,1.9,2013
DeWanna Bonner,F,34,32.9,14.5,4.7,11.5,41.0,1.6,4.9,32.5,3.5,3.9,90.1,5.8,2.4,1.1,0.3,1.6,2013
Danielle Adams,F,34,26.4,14.4,5.0,11.7,42.6,1.2,3.8,32.6,3.1,4.4,70.7,4.7,1.2,0.9,0.7,1.8,2013
Kristi Toliver,G,34,30.0,14.1,5.3,11.6,45.7,1.4,3.8,38.3,2.0,2.4,83.1,2.6,3.4,1.3,0.2,1.9,2013
Tina Thompson,F,34,28.7,14.1,4.5,11.1,41.0,1.8,4.8,37.0,3.3,3.7,87.4,5.8,1.1,0.5,0.6,1.5,2013
Jia Perkins,G,34,30.5,13.9,5.3,13.3,40.0,1.3,3.4,38.8,1.9,2.2,86.5,3.1,2.0,2.4,0.3,1.4,2013
Ivory Latta,G,34,31.5,13.9,4.6,11.9,39.2,2.1,5.4,39.6,2.4,2.7,90.2,2.6,4.4,0.9,0.0,1.9,2013
Erika de Souza,F,34,29.9,12.9,5.5,9.9,55.3,0.0,0.0,0.0,1.9,2.7,67.7,9.9,1.3,1.3,1.8,1.6,2013
Brittney Griner,C,27,26.0,12.6,5.1,9.3,55.6,0.0,0.0,0.0,2.3,3.2,72.4,6.3,1.0,0.5,3.0,1.7,2013
Crystal Langhorne,F,34,28.6,12.0,5.0,9.6,51.5,0.0,0.2,12.5,2.0,3.1,65.1,7.2,1.3,0.9,0.3,2.3,2013
Tanisha Wright,G,34,30.9,11.9,4.3,9.8,44.0,0.4,1.4,28.3,2.9,3.4,85.5,3.7,4.1,1.1,0.2,2.9,2013
Plenette Pierson,F,32,27.6,11.6,4.6,11.5,40.1,0.0,0.2,0.0,2.4,3.3,72.0,5.8,2.5,0.5,0.6,2.5,2013
Danielle Robinson,G,25,32.5,11.2,4.6,10.4,44.4,0.0,0.2,0.0,2.0,2.6,79.7,3.1,6.7,1.4,0.2,2.6,2013
Shenise Johnson,G,33,27.3,11.0,4.4,11.1,39.5,0.7,2.5,27.4,1.6,2.0,79.1,3.9,2.4,1.3,0.2,1.8,2013
Lindsey Harding,G,33,30.6,10.9,4.1,9.2,44.1,0.1,0.7,18.2,2.7,3.5,75.9,2.7,5.2,1.0,0.4,2.5,2013
Camille Little,F,34,30.3,10.9,3.6,8.1,43.7,0.4,1.4,28.3,3.4,4.2,80.3,4.7,1.4,1.2,0.3,2.4,2013
Rebekkah Brunson,F,33,29.2,10.6,4.5,9.0,49.7,0.0,0.0,100.0,1.7,2.7,63.6,8.9,1.5,1.3,0.9,1.2,2013
Monique Currie,F,34,25.9,10.5,3.6,8.9,40.1,0.6,1.9,34.4,2.7,3.3,81.4,5.0,1.5,1.1,0.2,1.8,2013
Temeka Johnson,G,32,27.4,10.2,3.6,8.3,42.9,0.7,1.8,36.8,2.4,2.8,87.5,2.6,4.0,0.9,0.1,2.7,2013
Candice Wiggins,G,32,27.4,10.1,3.2,8.9,36.3,1.8,4.9,36.3,1.9,2.4,79.2,2.9,2.0,1.2,0.2,1.8,2013
Shekinna Stricklen,F,34,23.4,10.0,3.9,9.4,41.1,1.6,4.6,34.4,0.7,1.1,64.1,2.8,0.8,0.7,0.4,1.2,2013
Briann January,G,32,29.6,9.8,3.4,9.9,34.8,1.1,3.1,35.7,1.9,2.3,81.1,2.4,3.7,1.1,0.2,2.5,2013
Swin Cash,F,34,28.3,9.3,3.5,8.4,41.5,0.5,1.9,27.0,1.9,2.2,85.3,5.6,2.2,0.9,0.6,1.9,2013
Monica Wright,G,33,22.5,9.0,3.3,7.8,42.8,0.3,1.2,25.6,2.1,2.6,79.1,2.9,2.3,1.0,0.2,1.8,2013
Matee Ajavon,G,34,22.8,8.9,2.8,7.7,36.4,0.6,1.8,30.6,2.8,3.5,79.0,1.7,2.9,0.9,0.1,2.2,2013
Courtney Vandersloot,G,33,29.8,8.8,3.2,8.1,39.6,0.5,1.7,30.4,1.8,2.2,83.3,3.2,5.6,1.4,0.8,2.5,2013
Kara Braxton,F,34,21.8,8.7,3.8,7.9,48.1,0.0,0.0,0.0,1.1,1.6,66.1,6.6,1.2,0.6,0.4,2.3,2013
Kelsey Griffin,F,34,25.4,8.7,3.2,7.2,44.3,0.4,1.1,30.8,1.9,2.6,73.3,5.0,0.9,1.2,0.7,1.0,2013
Karima Christmas-Kelly,F,34,26.9,8.6,3.0,8.0,37.3,0.9,2.9,30.0,1.8,2.2,81.1,4.1,1.1,1.9,0.3,1.2,2013
Skylar Diggins-Smith,G,32,26.4,8.5,2.8,8.5,32.8,0.6,2.4,24.4,2.3,2.8,83.3,1.9,3.8,1.3,0.3,2.9,2013
Jasmine Thomas,G,34,27.5,8.5,3.5,9.8,35.9,0.5,2.2,21.6,0.9,1.4,69.6,3.0,3.1,0.9,0.3,2.1,2013
Alex Bentley,G,34,22.1,8.3,3.3,8.4,39.8,0.8,2.5,32.9,0.8,1.1,71.1,1.4,2.8,1.0,0.1,1.1,2013
Erlana Larkins,F,34,30.1,7.9,3.0,5.6,54.5,0.0,0.0,0.0,1.9,2.6,70.8,7.8,1.9,1.4,0.3,1.4,2013
Shameka Christon,F,33,22.4,7.5,2.5,8.1,30.7,1.5,4.7,32.1,1.0,1.2,86.8,1.7,0.7,0.5,0.3,0.7,2013
Jantel Lavender,F,34,16.8,7.2,3.1,6.2,50.7,0.0,0.0,0.0,0.9,1.1,86.5,4.5,0.5,0.6,0.6,1.1,2013
Mistie McCray Bass,F,33,18.0,7.0,2.8,5.2,55.0,0.0,0.0,0.0,1.3,2.1,60.9,4.4,1.0,0.7,0.9,1.5,2013
Armintie Herrington,G,28,29.9,7.0,2.8,6.0,46.7,0.0,0.0,0.0,1.4,2.4,59.1,3.4,2.4,2.3,0.1,1.9,2013
Kelsey Bone,C,34,19.5,6.9,2.9,6.3,46.0,0.0,0.0,0.0,1.1,1.7,63.2,5.4,0.7,0.4,0.4,1.5,2013
Kia Vaughn,C,34,20.1,6.9,2.9,6.9,42.5,0.0,0.0,0.0,1.0,1.4,76.1,5.2,0.6,0.7,1.1,1.5,2013
Tayler Hill,G,34,17.4,6.5,1.9,5.6,32.8,1.0,3.1,33.3,1.7,2.1,84.3,1.7,1.5,0.7,0.1,1.1,2013
Nicole Powell,F,32,22.4,6.4,2.3,5.6,40.6,1.2,3.3,36.2,0.7,0.8,81.5,3.7,1.3,0.8,0.2,0.9,2013
Janel McCarville,C,32,22.0,6.3,2.5,5.1,48.8,0.2,0.4,42.9,1.2,1.4,80.4,4.3,2.9,1.0,0.7,1.3,2013
Alana Beard,G,32,22.0,6.2,2.7,5.8,45.9,0.0,0.3,12.5,0.9,1.1,82.4,2.3,1.4,1.3,0.3,1.3,2013
Katie Smith,G,34,26.6,6.1,2.2,6.0,37.4,0.8,2.6,31.5,0.8,1.0,84.8,1.9,1.8,0.7,0.2,1.3,2013
Alex Montgomery,F,34,23.0,6.1,2.5,6.6,38.4,0.4,1.3,30.2,0.6,0.8,84.6,5.2,1.7,0.6,0.2,1.7,2013
Iziane Castro,G,28,15.8,6.0,2.1,5.9,35.2,0.5,1.6,32.6,1.3,1.8,72.5,1.7,1.0,0.5,0.1,1.3,2013
Charde Houston,F,34,17.2,5.9,2.3,5.7,40.0,0.3,1.5,18.0,1.0,1.3,77.8,2.3,1.3,0.5,0.4,1.6,2013
Jayne Appel-Marinelli,C,29,26.5,5.9,2.4,4.2,57.9,0.0,0.1,33.3,1.0,1.7,59.2,8.9,2.0,0.9,1.3,1.5,2013
Tamera Young,F,33,18.1,5.6,2.5,5.8,42.6,0.0,0.0,0.0,0.7,1.2,60.5,3.8,0.6,0.5,0.2,0.7,2013
Noelle Quinn,G,34,25.6,5.4,2.1,5.8,35.4,0.4,1.6,23.2,0.9,1.1,84.2,4.9,1.6,0.8,0.2,1.2,2013
Jessica Breland,F,30,14.6,5.3,2.3,5.2,43.9,0.0,0.0,0.0,0.7,0.9,74.1,4.0,0.6,0.6,1.0,1.1,2013
