Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF
Minnesota Lynx,2,92.5,34.5,77.0,44.8,10.0,27.0,37.0,13.5,17.0,79.4,8.5,32.0,40.5,25.0,16.5,9.0,22.0,19.0
Las Vegas Aces,2,89.0,30.0,72.0,41.7,9.5,30.0,31.7,19.5,22.5,86.7,9.0,26.5,35.5,20.0,8.5,4.5,10.5,13.0
Atlanta Dream,2,88.5,29.0,63.0,46.0,9.0,20.0,45.0,18.5,23.0,80.4,7.0,26.5,33.5,20.5,8.0,7.0,13.0,20.5
New York Liberty,4,88.0,31.3,68.3,45.8,8.5,27.5,30.9,17.0,18.5,91.9,8.5,27.5,36.0,20.5,8.0,6.0,15.8,16.0
Connecticut Sun,3,88.0,30.3,69.3,43.8,5.0,20.0,25.0,22.3,27.0,82.7,10.3,20.3,30.7,17.0,10.0,2.7,11.0,19.0
Phoenix Mercury,2,84.0,23.5,64.5,36.4,10.5,29.5,35.6,17.5,21.0,83.3,8.5,29.0,37.5,19.0,8.0,5.5,13.5,22.5
Los Angeles Sparks,2,81.5,31.0,69.0,44.9,8.5,22.5,37.8,11.0,18.5,59.5,5.5,27.5,33.0,20.0,9.5,3.5,14.0,17.5
Chicago Sky,2,81.0,30.5,77.0,39.6,4.5,19.0,23.7,15.5,23.5,66.0,17.5,22.0,39.5,19.5,12.0,8.0,14.5,21.5
Dallas Wings,2,80.5,30.0,74.0,40.5,6.0,16.5,36.4,14.5,16.5,87.9,14.0,27.0,41.0,16.5,7.0,10.0,20.0,21.5
Seattle Storm,4,77.5,28.0,73.5,38.1,4.3,18.3,23.3,17.3,21.5,80.2,12.3,28.3,40.5,14.8,12.0,4.5,18.8,20.8
Washington Mystics,3,77.3,28.0,66.0,42.4,9.3,26.7,35.0,12.0,16.0,75.0,6.7,23.7,30.3,21.3,8.0,5.0,16.0,21.3
Indiana Fever,4,75.3,28.0,64.8,43.2,7.0,21.3,32.9,12.3,15.0,81.7,8.5,22.5,31.0,17.8,6.0,4.8,17.5,20.3
