Name,Year,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Lauren Jackson,2007.0,F,31,32.9,23.8,8.3,16.0,51.9,1.6,3.9,40.2,5.6,6.4,88.3,9.7,1.3,1.0,2.0,1.8
Seimone Augustus,2007.0,G,34,31.9,22.6,8.7,17.1,50.8,0.8,1.8,41.9,4.4,5.1,87.3,4.0,2.3,1.2,0.6,2.4
Diana Taurasi,2007.0,G,32,32.0,19.2,6.4,14.6,44.0,3.0,8.1,36.7,3.3,4.0,83.5,4.2,4.3,1.4,1.1,2.6
Alana Beard,2007.0,G,33,35.4,18.8,6.8,16.3,41.6,1.4,4.4,32.2,3.8,4.5,84.7,4.2,3.0,1.9,0.7,2.8
Becky Hammon,2007.0,G,28,33.4,18.8,6.4,14.4,44.5,2.6,6.5,40.4,3.4,3.6,93.1,2.8,5.0,0.8,0.2,4.1
Penny Taylor,2007.0,F,34,29.7,17.8,5.8,11.7,49.9,1.0,2.6,37.8,5.1,5.8,88.4,6.3,2.9,1.5,0.6,2.3
Cappie Pondexter,2007.0,G,31,31.2,17.2,6.2,14.5,43.1,1.2,3.5,33.6,3.5,4.4,81.5,3.6,4.0,0.9,0.3,2.2
Katie Douglas,2007.0,G,34,33.3,17.0,6.1,14.2,42.8,2.0,5.9,33.8,2.8,3.6,77.9,4.6,3.7,1.9,0.3,2.8
Sophia Young-Malcolm,2007.0,F,33,33.5,16.8,6.5,13.6,47.8,0.0,0.2,0.0,3.8,5.1,74.9,5.8,1.5,1.5,0.4,1.8
Candice Dupree,2007.0,F,33,32.7,16.5,6.4,14.3,44.6,0.0,0.2,0.0,3.8,4.8,77.5,7.7,1.4,0.9,1.2,2.5
Deanna Nolan,2007.0,G,34,34.4,16.3,6.5,14.1,46.0,1.4,3.4,39.3,1.9,2.3,82.3,4.4,3.9,1.4,0.4,2.4
Asjha Jones,2007.0,F,30,31.4,15.3,6.4,14.3,44.9,0.0,0.4,8.3,2.4,3.1,76.6,6.1,2.5,0.8,0.8,3.0
DeLisha Milton-Jones,2007.0,F,34,33.6,13.4,4.9,13.9,34.9,0.8,3.5,23.5,2.9,3.4,84.5,6.4,1.6,1.5,1.1,3.6
Betty Lennox,2007.0,G,34,27.6,13.4,4.6,10.6,42.8,1.0,2.9,34.3,3.2,3.6,90.9,4.7,2.7,1.1,0.1,2.7
Lindsay Whalen,2007.0,G,34,30.6,13.4,4.6,9.8,46.8,0.5,2.5,20.9,3.6,4.6,78.5,4.8,5.0,2.1,0.1,2.2
Katie Smith,2007.0,G,34,34.0,13.2,3.8,10.4,36.1,1.8,5.8,31.1,3.9,4.6,84.7,3.8,3.6,1.2,0.1,1.7
Nykesha Sales,2007.0,,26,29.3,13.1,4.7,12.1,39.2,0.9,2.7,32.4,2.8,3.2,87.8,4.0,3.2,1.4,0.4,2.2
Tangela Smith,2007.0,C,34,31.5,12.6,4.9,11.7,41.4,0.6,1.8,32.8,2.3,2.9,78.8,6.5,1.3,1.2,1.6,1.6
Iziane Castro,2007.0,G,34,28.3,12.3,4.1,9.7,42.0,1.8,4.6,38.5,2.4,3.0,80.2,2.8,2.8,1.0,0.1,1.9
Tammy Sutton-Brown,2007.0,C,34,25.3,12.0,4.4,9.0,48.5,0.0,0.0,0.0,3.3,4.6,71.6,5.4,0.9,1.0,1.4,2.5
Jia Perkins,2007.0,G,33,23.1,11.7,4.6,10.0,46.4,1.2,2.7,43.3,1.2,1.6,77.4,3.3,2.3,1.5,0.2,1.5
Plenette Pierson,2007.0,F,34,24.9,11.6,4.4,9.2,47.8,0.0,0.1,0.0,2.9,3.8,75.4,5.8,1.7,0.8,0.9,2.3
Nicole Ohlde,2007.0,,34,26.8,11.5,3.8,10.1,37.4,0.0,0.0,0.0,4.0,4.7,84.5,6.1,1.6,0.5,0.6,2.4
Shameka Christon,2007.0,F,33,32.3,11.2,3.6,9.9,36.0,1.2,3.6,32.8,2.8,3.5,79.5,4.5,2.1,1.0,0.6,2.5
Taj McWilliams-Franklin,2007.0,F,29,29.3,11.1,4.3,8.8,49.0,0.1,0.4,23.1,2.3,3.0,77.3,5.9,1.7,1.2,1.0,1.7
Nakia Sanford,2007.0,F,34,29.2,11.0,3.6,6.8,53.0,0.0,0.0,0.0,3.8,5.7,66.5,7.1,0.7,0.8,0.8,2.6
Tamika Whitmore,2007.0,,34,25.9,10.9,4.1,9.9,41.5,0.6,2.1,30.0,2.1,2.7,76.3,5.0,1.5,0.6,0.3,2.5
Tan White,2007.0,G,34,24.7,10.8,4.0,10.4,38.6,1.3,3.7,33.9,1.6,1.9,84.1,2.6,1.9,1.1,0.3,2.9
Cathrine Kraayeveld,2007.0,F,34,28.4,10.8,3.8,8.8,43.3,1.6,3.8,41.1,1.6,2.1,78.6,4.5,1.5,0.9,0.6,2.5
Swin Cash,2007.0,F,32,30.3,10.8,3.9,9.6,41.0,0.0,0.1,0.0,2.9,3.8,76.0,5.9,2.5,0.6,0.4,2.5
Monique Currie,2007.0,F,31,24.9,10.5,3.2,6.9,45.8,0.4,1.0,40.0,3.8,4.8,79.1,3.9,1.7,0.7,0.2,1.5
Sue Bird,2007.0,G,29,31.7,10.4,4.1,9.5,42.8,1.6,4.6,33.8,0.8,0.9,84.6,2.0,4.9,1.5,0.3,2.3
Janel McCarville,2007.0,C,32,21.2,10.4,4.3,7.8,54.6,0.0,0.0,0.0,1.9,2.3,83.3,4.8,1.1,1.2,0.6,2.5
Stacey Dales,2007.0,,31,27.3,10.3,3.5,10.1,34.7,2.2,6.5,33.8,1.1,1.3,84.6,1.8,2.7,0.6,0.0,1.8
Svetlana Abrosimova,2007.0,F,34,24.5,10.1,3.9,8.8,44.3,1.3,3.0,44.6,1.1,1.3,83.7,4.4,2.5,1.3,0.1,2.0
Chasity Melvin,2007.0,,29,29.4,9.9,3.8,8.0,46.8,0.0,0.2,20.0,2.4,3.8,62.7,6.7,1.3,1.1,0.8,2.4
Erin Thorn,2007.0,G,29,30.4,9.7,3.6,8.4,42.4,1.7,4.2,39.0,0.9,1.2,73.5,3.0,2.5,0.9,0.0,1.7
Loree Moore,2007.0,G,34,34.2,9.6,3.5,8.5,41.2,1.6,4.0,40.7,1.0,1.7,58.6,4.1,4.8,2.2,0.1,2.9
Sidney Spencer,2007.0,,34,24.4,9.6,3.5,8.8,39.3,1.6,3.6,43.9,1.1,1.2,88.1,4.1,1.2,0.8,0.3,1.0
Kelly Miller,2007.0,G,34,30.6,9.4,3.4,7.1,47.9,0.8,2.1,38.6,1.9,2.4,78.0,4.9,4.6,1.2,0.1,2.5
Janell Burse,2007.0,,29,24.4,8.8,3.2,7.2,44.5,0.0,0.0,0.0,2.4,3.5,69.3,5.3,0.8,0.4,1.0,2.0
Marta Fernandez,2007.0,,34,26.2,8.7,3.1,8.3,37.9,0.4,1.4,24.5,2.1,2.6,79.8,2.1,3.0,1.1,0.4,2.6
Anna DeForge,2007.0,,34,23.4,8.7,3.3,7.9,41.8,1.3,3.1,41.0,0.9,0.9,90.6,3.3,1.5,0.8,0.1,1.4
Dominique Canty,2007.0,G,30,25.9,8.6,2.9,8.0,36.1,0.1,0.5,25.0,2.7,3.8,70.4,2.1,4.1,1.0,0.1,1.9
Christi Thomas,2007.0,,34,18.8,8.4,3.4,7.0,48.1,0.2,0.5,35.3,1.6,2.1,75.7,5.3,0.5,0.6,0.3,1.4
Vickie Johnson,2007.0,G,30,28.4,8.1,3.2,7.1,44.4,0.7,1.6,42.9,1.1,1.3,82.1,4.8,3.5,1.1,0.3,1.2
Mwadi Mabika,2007.0,,33,23.1,8.1,2.8,7.8,36.4,1.1,3.5,31.0,1.3,1.7,75.4,3.8,2.2,0.8,0.1,2.2
Armintie Herrington,2007.0,G,34,26.3,7.9,2.8,6.8,40.9,0.0,0.1,33.3,2.3,4.4,51.7,6.0,2.9,1.2,0.2,1.7
LaToya Thomas,2007.0,,27,18.0,7.7,2.9,6.4,44.3,0.6,1.4,42.1,1.4,1.7,82.6,2.3,1.2,0.3,0.3,1.1
Kristen Mann,2007.0,F,34,25.6,7.6,2.8,7.5,37.5,1.1,3.1,34.9,0.9,1.1,78.4,3.6,1.3,0.9,0.2,0.8
Ashley Battle,2007.0,,34,22.3,7.4,2.6,7.2,36.5,0.9,2.7,31.2,1.3,1.7,77.6,3.7,1.6,1.0,0.1,1.4
Margo Dydek,2007.0,,32,20.1,6.7,2.8,5.8,48.7,0.1,0.2,40.0,0.9,1.2,78.9,6.5,1.0,0.4,2.1,1.6
Kara Braxton,2007.0,F,31,17.6,6.7,2.7,6.1,44.7,0.0,0.0,0.0,1.3,1.9,67.2,5.4,0.5,0.5,0.5,2.0
Ruth Riley,2007.0,C,30,25.8,5.9,2.4,6.5,37.1,0.2,0.9,18.5,0.9,1.0,93.1,4.9,1.2,0.9,2.0,2.3
Shannon Johnson,2007.0,,33,16.9,5.8,1.7,5.0,34.3,0.9,2.1,41.4,1.5,1.8,82.0,1.8,1.7,0.6,0.1,1.2
Evanthia Maltsi,2007.0,,26,18.5,5.7,2.0,5.4,37.9,1.2,3.0,41.6,0.3,0.5,75.0,2.5,1.5,0.8,0.1,1.0
Tamara James,2007.0,,31,12.9,5.4,1.7,4.3,38.8,0.6,1.6,36.0,1.5,1.7,84.9,1.6,1.1,0.8,0.1,0.9
Kelly Mazzante,2007.0,,34,14.3,5.4,1.9,4.9,38.8,1.1,3.4,34.2,0.4,0.4,100.0,1.6,1.1,0.8,0.1,0.6
Jessica Davenport,2007.0,C,33,11.6,5.3,1.8,4.2,44.5,0.0,0.0,0.0,1.6,2.0,81.8,2.7,0.3,0.2,0.9,1.3
Tully Bevilaqua,2007.0,G,34,26.5,5.3,1.9,4.4,44.0,1.0,2.6,37.1,0.4,0.6,68.2,2.2,2.7,1.6,0.1,1.6
Nikki Teasley,2007.0,,33,22.6,5.2,1.5,4.6,33.6,0.8,2.6,32.9,1.3,1.4,93.3,2.2,3.3,0.7,0.2,1.9
Katie Mattera,2007.0,,34,13.0,5.2,2.0,3.9,52.7,0.0,0.0,0.0,1.1,1.6,73.6,4.9,0.2,0.2,0.7,1.2
Shay Murphy,2007.0,F,32,13.6,5.2,1.7,4.5,37.2,0.6,2.1,27.3,1.2,1.4,84.8,3.3,0.5,0.6,0.3,0.6
Tiffany Jackson-Jones,2007.0,F,34,13.9,5.1,1.9,4.5,41.6,0.0,0.0,0.0,1.3,2.3,57.0,3.1,0.6,0.7,0.4,1.4
Sheri Sam,2007.0,F,33,17.9,4.9,1.9,5.6,33.9,0.2,1.0,25.0,0.9,1.3,69.0,2.9,1.3,0.9,0.2,1.2
Kiesha Brown,2007.0,,27,12.1,4.9,1.4,3.7,39.4,0.7,1.5,45.0,1.3,1.5,87.5,1.4,1.8,0.4,0.1,0.9
Marie Ferdinand-Harris,2007.0,G,34,14.1,4.8,1.8,5.0,35.9,0.2,0.8,22.2,1.1,1.2,90.0,2.4,0.8,0.6,0.1,1.1
Murriel Page,2007.0,,34,18.4,4.8,2.1,5.0,41.8,0.1,0.3,20.0,0.6,0.7,79.2,3.3,1.3,0.4,0.3,0.7
Wendy Palmer,2007.0,,34,13.9,4.6,1.6,3.9,41.7,0.1,0.6,14.3,1.3,1.6,78.2,4.3,0.5,0.4,0.2,1.1
Kelly Schumacher,2007.0,,34,16.0,4.4,1.7,3.7,45.6,0.1,0.2,42.9,1.0,1.4,73.9,4.3,0.4,0.5,0.7,1.0
Tiffany Stansbury,2007.0,,30,14.6,4.3,1.8,4.0,45.8,0.0,0.0,0.0,0.7,1.3,51.3,4.3,0.5,0.4,0.4,1.0
Erika de Souza,2007.0,F,32,12.2,4.3,2.0,3.7,53.4,0.0,0.0,0.0,0.3,0.7,47.6,3.0,0.4,0.2,0.9,1.1
Jessica Moore,2007.0,F,29,15.2,4.2,1.7,4.2,39.7,0.0,0.0,0.0,0.9,1.4,64.3,3.0,0.6,0.2,0.2,1.1
Ebony Hoffman,2007.0,F,34,17.1,4.2,1.7,3.8,44.5,0.1,0.1,40.0,0.8,1.0,82.4,4.0,0.8,0.6,0.5,1.2
Tanisha Wright,2007.0,G,34,16.1,4.1,1.5,3.7,40.0,0.2,0.6,27.3,1.0,1.1,84.6,1.3,2.0,0.9,0.1,1.6
Helen Darling,2007.0,,33,20.7,4.1,1.4,3.6,38.3,0.5,1.2,36.6,0.8,1.1,77.1,2.1,3.1,1.4,0.0,1.6
Coco Miller,2007.0,G,30,15.2,4.0,1.6,3.9,40.5,0.3,0.8,40.0,0.5,0.5,100.0,1.6,0.8,0.6,0.1,1.0
Katie Gearlds,2007.0,,33,13.2,4.0,1.3,3.5,38.6,0.7,1.9,34.4,0.7,0.8,88.0,1.6,0.7,0.4,0.2,0.6
Camille Little,2007.0,F,34,20.9,3.9,1.6,3.9,41.2,0.1,0.3,27.3,0.6,1.2,52.5,4.5,0.7,0.9,0.3,1.2
Belinda Snell,2007.0,F,30,11.4,3.6,1.2,3.5,34.9,0.9,2.6,32.9,0.2,0.4,63.6,1.5,1.5,0.7,0.1,0.6
Nikki Blue,2007.0,,30,14.0,3.6,1.2,3.6,32.4,0.2,0.9,22.2,1.0,1.2,83.8,2.1,1.6,0.7,0.2,1.2
Kristen Rasmussen,2007.0,,33,15.8,3.5,1.2,3.0,41.4,0.5,0.8,55.6,0.5,0.6,81.0,2.8,0.9,0.3,0.2,1.1
Jamie Carey,2007.0,,33,12.7,3.4,1.1,3.1,36.6,1.0,2.2,45.1,0.2,0.2,75.0,0.9,0.9,0.1,0.0,0.5
K.B. Sharp,2007.0,,34,13.4,3.2,1.2,2.9,41.2,0.3,0.9,31.0,0.6,0.9,72.4,0.9,1.4,0.4,0.0,0.8
Amber Jacobs,2007.0,,29,11.3,3.2,1.2,3.5,33.3,0.6,2.2,26.2,0.3,0.4,61.5,0.7,1.4,0.3,0.0,1.4
Kathrin Ress,2007.0,,28,12.4,3.0,1.1,2.8,39.7,0.1,0.1,50.0,0.8,1.0,72.4,2.5,0.6,0.3,0.1,1.3
Ivory Latta,2007.0,G,31,7.1,3.0,1.1,2.8,39.1,0.7,1.6,44.9,0.1,0.2,42.9,0.6,0.6,0.3,0.1,0.5
Bernice Mosby,2007.0,F,28,10.0,3.0,1.1,2.2,48.4,0.0,0.0,0.0,0.8,1.0,82.1,2.8,0.4,0.3,0.2,0.7
Brooke Wyckoff,2007.0,,34,15.3,2.9,0.9,2.5,37.6,0.7,2.0,35.8,0.3,0.4,76.9,3.2,1.4,0.6,0.5,0.8
Noelle Quinn,2007.0,G,34,19.4,2.8,1.1,3.6,29.8,0.2,1.1,18.4,0.4,0.7,62.5,2.6,4.4,0.9,0.4,2.0
Shyra Ely-Gash,2007.0,F,29,9.7,2.2,0.7,2.1,32.3,0.2,0.5,33.3,0.7,1.1,64.5,1.3,0.4,0.3,0.0,0.7
Le'coe Willingham,2007.0,F,28,11.4,2.1,0.7,1.9,38.5,0.0,0.1,0.0,0.6,0.9,72.0,2.8,0.4,0.3,0.2,0.7
Barbara Farris,2007.0,F,28,8.5,1.9,0.7,2.1,34.5,0.0,0.0,0.0,0.5,0.6,81.3,1.5,0.5,0.2,0.0,0.7
Elaine Powell,2007.0,,32,9.8,1.9,0.7,1.7,40.7,0.0,0.0,0.0,0.5,0.7,69.6,1.1,1.4,0.4,0.1,0.9
Ashley Robinson,2007.0,C,33,12.4,1.5,0.7,1.9,34.9,0.0,0.0,0.0,0.1,0.5,26.7,3.0,0.4,0.5,0.8,0.8
Laurie Koehn,2007.0,G,28,3.9,1.4,0.5,1.3,36.1,0.4,1.2,36.4,0.1,0.1,100.0,0.3,0.2,0.0,0.0,0.1
Diana Taurasi,2008.0,G,34,31.9,24.1,7.6,17.0,44.6,2.6,7.3,36.0,6.3,7.3,87.0,5.1,3.6,1.4,1.4,2.4
Cappie Pondexter,2008.0,G,32,31.3,21.2,7.3,17.7,41.3,1.3,4.1,31.3,5.3,6.3,84.6,3.7,4.2,1.2,0.2,2.9
Seimone Augustus,2008.0,G,31,33.6,19.1,7.5,16.0,46.9,0.6,2.0,31.7,3.4,3.8,89.0,3.9,2.7,1.0,0.4,1.7
Candace Parker,2008.0,F,33,33.6,18.5,7.0,13.4,52.3,0.3,0.8,42.3,4.2,5.7,73.3,9.5,3.4,1.3,2.3,2.8
Becky Hammon,2008.0,G,33,33.4,17.6,5.2,13.3,39.0,2.3,6.7,35.0,4.9,5.3,93.7,2.8,4.9,1.3,0.2,3.2
Sophia Young-Malcolm,2008.0,F,33,31.9,17.5,6.3,13.1,47.8,0.0,0.1,0.0,4.9,6.2,78.6,5.6,2.3,1.6,0.5,1.7
Betty Lennox,2008.0,G,34,29.7,17.4,6.1,14.7,41.5,1.9,5.2,35.8,3.4,4.0,85.3,4.2,2.4,1.3,0.1,3.4
Asjha Jones,2008.0,F,33,29.2,17.0,6.8,14.0,48.4,0.2,0.7,21.7,3.3,4.2,79.1,6.1,2.5,0.6,0.8,2.2
Jia Perkins,2008.0,G,34,31.7,17.0,6.3,14.3,43.9,1.3,3.6,36.6,3.1,3.5,89.1,4.1,2.8,1.9,0.3,1.8
Candice Dupree,2008.0,F,34,33.1,16.3,6.1,13.4,45.7,0.0,0.2,14.3,4.1,5.2,78.0,7.9,2.3,1.0,1.3,2.9
Alana Beard,2008.0,G,33,33.1,16.1,5.7,14.4,39.5,1.5,4.4,35.4,3.2,4.4,73.3,3.6,3.5,1.7,0.6,3.2
Deanna Nolan,2008.0,G,34,33.6,15.8,6.4,13.7,46.5,1.3,3.4,37.4,1.9,2.1,86.3,3.9,4.4,1.2,0.3,2.1
Shameka Christon,2008.0,F,31,30.5,15.7,4.9,12.4,39.7,2.3,5.6,40.6,3.6,4.3,82.8,3.0,1.6,1.1,0.5,2.0
Candice Wiggins,2008.0,G,30,27.5,15.7,4.6,11.3,40.3,1.2,4.0,30.6,5.4,6.6,81.7,3.2,3.0,1.8,0.2,1.9
Katie Douglas,2008.0,G,33,34.4,15.6,5.2,13.8,37.2,1.7,5.3,32.4,3.6,4.5,79.9,4.1,3.2,1.6,0.4,3.0
Lisa Leslie,2008.0,,33,32.1,15.1,5.7,12.3,46.3,0.1,0.5,23.5,3.5,5.4,66.1,8.9,2.4,1.5,2.9,3.6
Ann Wauters,2008.0,C,32,30.6,14.7,6.1,11.4,53.3,0.3,1.0,35.5,2.2,3.1,71.4,7.5,1.8,1.1,1.2,2.2
Katie Smith,2008.0,G,34,33.9,14.7,4.6,12.1,38.3,2.2,6.2,36.0,3.2,3.6,88.7,2.8,4.0,0.9,0.1,2.4
Sue Bird,2008.0,G,33,33.7,14.1,5.2,11.8,44.1,1.4,4.2,34.3,2.2,2.6,87.1,2.5,5.1,1.2,0.1,2.7
Lindsay Whalen,2008.0,G,31,29.3,14.0,4.5,9.9,46.1,0.9,2.6,33.8,4.1,5.1,80.3,5.6,5.4,1.5,0.0,1.9
DeLisha Milton-Jones,2008.0,F,31,32.8,13.9,5.3,11.1,48.0,0.9,2.6,35.8,2.3,3.0,77.4,6.3,2.4,1.1,0.6,3.2
Janel McCarville,2008.0,C,31,26.3,13.7,5.4,10.1,53.5,0.0,0.3,0.0,2.9,3.7,77.4,5.4,2.1,1.5,0.8,2.2
Taj McWilliams-Franklin,2008.0,F,26,33.2,13.3,5.7,10.8,52.5,0.3,1.0,28.0,1.8,2.4,73.0,7.3,1.6,1.7,1.0,2.9
Tamika Catchings,2008.0,F,25,27.8,13.3,4.0,10.3,39.1,1.5,3.5,43.2,3.7,4.6,80.0,6.3,3.3,2.0,0.4,2.4
Tamika Whitmore,2008.0,,34,26.8,12.6,4.7,11.5,40.8,1.0,3.2,31.5,2.2,2.8,78.1,4.7,1.4,0.6,0.4,2.0
Plenette Pierson,2008.0,F,28,23.2,11.9,4.4,9.5,45.7,0.0,0.1,0.0,3.1,4.2,75.2,4.9,2.3,0.9,1.2,1.7
Monique Currie,2008.0,F,34,28.6,11.9,4.0,9.9,40.1,0.7,1.9,37.5,3.2,3.9,82.6,4.1,2.5,0.9,0.4,2.6
Tammy Sutton-Brown,2008.0,C,33,29.0,11.8,4.3,8.8,49.5,0.0,0.0,0.0,3.1,4.6,67.3,6.3,0.5,0.6,1.7,2.1
Ivory Latta,2008.0,G,34,28.2,11.4,3.6,10.1,36.2,1.6,4.7,34.4,2.5,3.1,80.2,2.1,3.6,1.3,0.0,1.8
Swin Cash,2008.0,F,31,29.9,11.3,3.7,9.5,38.9,0.0,0.3,12.5,3.9,5.1,77.2,5.4,1.9,0.7,1.0,2.2
Tangela Smith,2008.0,C,25,28.9,11.1,4.4,10.6,41.7,0.6,1.8,34.8,1.6,1.8,86.7,7.0,1.1,1.1,1.2,1.6
Ebony Hoffman,2008.0,F,33,30.7,10.4,4.3,9.2,46.5,0.8,1.7,45.6,1.0,1.2,82.9,7.8,1.8,1.4,0.8,2.4
Le'coe Willingham,2008.0,F,34,24.5,10.1,4.1,7.2,57.0,0.1,0.8,18.5,1.8,2.4,74.1,5.9,0.9,0.6,0.2,1.4
Tan White,2008.0,G,33,27.1,9.9,3.6,9.8,36.6,1.2,3.6,32.5,1.5,1.8,85.0,3.1,2.4,1.3,0.4,2.6
Cathrine Kraayeveld,2008.0,F,34,28.3,9.6,3.4,8.8,38.3,1.8,4.9,37.6,1.1,1.5,70.6,6.1,1.4,0.8,0.8,1.6
Iziane Castro,2008.0,G,29,23.1,9.3,3.3,9.4,35.3,1.0,3.2,30.9,1.7,2.0,81.4,2.2,1.8,0.9,0.2,2.0
Nicky Anosike,2008.0,F,34,27.1,9.2,2.9,6.6,43.8,0.0,0.0,0.0,3.4,4.9,69.9,6.8,1.3,2.2,1.3,1.2
Kara Braxton,2008.0,F,33,17.9,8.9,3.2,7.8,41.5,0.0,0.1,0.0,2.5,3.3,74.3,5.1,0.8,0.4,0.7,1.6
Charde Houston,2008.0,F,33,17.6,8.8,3.5,7.2,49.2,0.0,0.0,0.0,1.8,2.5,74.1,3.7,0.8,0.9,0.4,1.7
Anna DeForge,2008.0,,34,24.9,8.5,3.1,8.0,39.1,1.4,3.8,36.4,0.9,1.1,76.3,3.0,1.7,0.8,0.1,0.9
Marie Ferdinand-Harris,2008.0,G,33,20.6,8.4,2.8,7.5,37.0,0.4,1.3,27.3,2.5,2.8,89.1,2.6,1.3,0.8,0.1,1.2
Kelly Miller,2008.0,G,34,27.8,8.3,3.1,7.7,40.8,0.6,1.5,38.5,1.4,1.7,84.5,4.4,4.0,0.6,0.1,2.5
Tiffany Jackson-Jones,2008.0,F,25,19.8,8.3,3.2,6.3,51.6,0.0,0.0,0.0,1.8,2.9,63.0,5.7,1.0,1.0,0.3,1.9
Chasity Melvin,2008.0,,34,22.5,8.2,2.9,6.5,44.3,0.0,0.1,33.3,2.4,3.9,61.4,5.1,1.5,0.9,0.3,1.4
Dominique Canty,2008.0,G,28,26.3,8.1,2.5,6.4,39.4,0.0,0.2,16.7,3.0,4.4,66.9,2.5,4.1,1.0,0.1,1.9
Barbara Turner,2008.0,,34,19.5,8.0,2.4,5.6,41.7,1.3,3.5,37.3,2.0,2.6,77.5,3.2,1.5,0.4,0.4,1.2
Tanisha Wright,2008.0,G,34,23.8,7.9,3.2,7.4,43.2,0.1,0.7,16.7,1.4,1.8,78.7,3.4,2.5,0.9,0.2,2.3
Tamera Young,2008.0,F,33,22.6,7.3,2.4,7.3,33.3,0.4,1.2,32.5,2.0,2.9,69.1,4.2,1.2,0.9,0.3,1.8
Yolanda Griffith,2008.0,,30,21.9,7.2,2.2,4.8,46.2,0.0,0.0,0.0,2.8,4.3,64.8,6.3,1.5,1.4,0.6,1.7
Erin Perperoglou,2008.0,,34,26.7,7.2,2.2,5.2,42.7,0.8,1.9,43.1,1.9,2.4,77.1,3.3,1.7,1.1,0.6,1.5
Sheryl Swoopes,2008.0,,29,24.3,7.1,2.6,6.6,39.1,0.5,2.2,22.2,1.4,2.0,69.5,4.3,2.1,1.5,0.3,1.1
Armintie Herrington,2008.0,G,34,22.4,6.9,2.5,5.6,43.8,0.0,0.0,0.0,1.9,3.7,52.0,3.7,1.7,1.1,0.4,1.4
Nakia Sanford,2008.0,F,34,23.4,6.7,2.6,5.9,45.2,0.0,0.0,0.0,1.4,3.6,39.8,5.7,1.2,0.6,0.3,2.4
Katie Mattera,2008.0,,33,14.0,6.7,2.3,4.4,53.5,0.0,0.0,0.0,2.0,2.7,74.4,3.9,0.3,0.1,0.8,1.8
Vickie Johnson,2008.0,G,32,27.9,6.7,2.7,6.2,43.9,0.3,1.2,28.2,0.9,1.1,77.8,5.3,3.6,0.8,0.2,1.5
Essence Carson,2008.0,F,34,19.0,6.6,2.7,7.2,37.6,0.2,0.9,27.6,0.9,1.4,67.4,2.2,0.9,0.9,0.2,1.0
Amber Holt,2008.0,F,34,21.0,6.5,2.4,5.9,40.7,0.7,2.2,32.9,1.0,1.3,77.8,3.1,1.9,0.4,0.1,0.9
Sandrine Gruda,2008.0,F,31,15.4,6.2,2.6,5.7,45.5,0.0,0.0,0.0,1.0,1.8,54.4,3.5,0.9,0.6,0.8,1.3
Tully Bevilaqua,2008.0,G,30,29.2,5.8,2.1,5.3,40.5,1.0,3.0,33.7,0.6,0.9,60.7,2.3,2.2,2.0,0.1,1.2
Kelly Mazzante,2008.0,,34,18.9,5.8,2.0,6.0,33.2,1.6,5.0,33.1,0.1,0.2,83.3,1.9,1.1,0.7,0.1,0.5
Nicole Ohlde,2008.0,,34,16.4,5.8,2.1,4.7,45.3,0.0,0.0,0.0,1.5,1.9,78.5,3.3,1.3,0.3,0.6,1.5
Jennifer Lacy,2008.0,F,33,18.3,5.7,2.2,5.8,38.9,0.1,0.6,19.0,1.1,1.7,67.3,2.7,0.8,0.5,0.2,1.1
Lisa Willis,2008.0,,34,13.5,5.6,1.7,4.1,42.1,1.3,2.8,46.8,0.9,0.9,96.7,1.7,0.4,0.9,0.1,0.9
Alexis Hornbuckle,2008.0,G,34,22.0,5.4,1.9,5.2,35.4,0.5,1.3,35.6,1.2,1.9,63.6,4.1,2.1,2.3,0.3,1.4
Loree Moore,2008.0,G,29,27.9,5.3,1.9,5.6,34.2,0.8,2.9,28.9,0.7,0.8,83.3,3.9,4.6,1.5,0.1,2.7
Sidney Spencer,2008.0,,33,13.7,5.3,1.9,4.7,40.6,0.9,2.5,38.3,0.5,0.5,94.4,1.9,0.5,0.4,0.1,0.7
Coco Miller,2008.0,G,34,20.9,5.3,2.3,6.4,35.5,0.4,1.6,28.3,0.3,0.5,62.5,2.5,1.4,0.8,0.1,1.7
Vanessa Hayden-Johnson,2008.0,,30,10.1,5.2,2.2,4.9,44.5,0.0,0.0,0.0,0.9,1.5,61.4,3.5,0.4,0.5,0.5,0.9
Ruth Riley,2008.0,C,30,19.3,5.1,2.1,4.8,43.4,0.3,0.9,32.1,0.6,0.7,85.7,3.6,1.0,0.5,1.4,1.7
Katie Gearlds,2008.0,,34,13.8,5.0,1.7,4.6,37.3,1.1,2.7,39.1,0.5,0.7,73.9,1.3,0.6,0.3,0.1,0.4
Kiesha Brown,2008.0,,32,16.6,4.9,1.6,4.6,35.6,0.7,2.1,34.3,1.0,1.1,91.2,1.8,2.1,0.6,0.0,1.2
Crystal Langhorne,2008.0,F,34,15.6,4.8,2.0,3.2,62.4,0.0,0.0,0.0,0.8,1.5,54.9,4.0,0.4,0.4,0.2,1.1
Erlana Larkins,2008.0,F,27,12.4,4.8,1.8,3.5,51.1,0.0,0.0,0.0,1.2,2.1,58.9,2.7,0.7,0.4,0.3,1.3
LaToya Sanders,2008.0,F,29,13.0,4.4,1.5,3.3,44.8,0.0,0.0,0.0,1.4,1.8,82.4,3.5,0.3,0.3,1.5,0.9
